Id,Name,Alias,City,Address,SourceURL
central-vinales,Central Viñales,,Pinar del Río,"Salvador Cisnero Street Esq. Ceferino Fernández, Vinales, Cuba 22 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
hotel-cayo-levisa,Hotel Cayo Levisa,,Pinar del Río,"Carretera a Palma Rubia, Cayo Levisa, Cuba 84 310",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
hotel-moka,Hotel Moka,,Pinar del Río,"Autopista Habana-Pinar del Río, Km 52 ½, Las Terrazas, Pinar del Rio, Cuba 24 700",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
hotel-pinar-del-rio,Hotel Pinar del Río,,Pinar del Río,"A4 (Marti y Final Autopista) Pinar del Rio, Cuba 20 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
hotel-villa-cabo-de-san-antonio,Hotel Villa Cabo de San Antonio,,Pinar del Río,"Playa Las Tumbas, Cabo de San Antonio, Pinar del Río, Pinar del Rio, Cuba 24 150",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
hotel-villa-maria-la-gorda-y-centro-internacional-de-buceo,Hotel Villa María La Gorda y Centro Internacional de Buceo,,Pinar del Río,"Península de Guanahacabibes, Pinar del Rio, Cuba 24 150",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
hotel-vueltabajo,Hotel Vueltabajo,,Pinar del Río,"Calle Marti 103, esq. a Rafael Morales, Pinar del Rio, Cuba 20 100",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
la-ermita,La Ermita ,,Pinar del Río,"Carretera de La Ermita, km 1. 5, Vinales, Cuba 22 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
los-jazmines,Los Jazmines,,Pinar del Río,"Carretera a Viñales, Km. 23, Viñales, Pinar del Río, Cuba 22 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
mirador-de-san-diego,Mirador de San Diego,,Pinar del Río,"Calle 23 final San Diego de los Baños, Los Palacios, Cuba 22 900",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
villa-rancho-san-vicente,Villa Rancho San Vicente,,Pinar del Río,"Valle de San Vicente Carretera a Puerto Esperanza Km 33, Vinales, Cuba 22 400",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
castillo-en-las-nubes,Castillo en las Nubes,,Artemisa,"Km 8 Carretera, Soroa, Artemisa, Cuba 22 700",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
hotel-las-yagrumas,Hotel Las Yagrumas,,Artemisa,"Calle 40 y Final Autopista, San Antonio de los Banos, Artemisa, Cuba 32 500",https://www.state.gov/cuba-prohibited-accommodations-list-initial-publication/
