amendedCelex,amendmentCelex,recordId,programKey,annex,measure,startDate,reason,schema,name,alias,weakAlias,previousName,country,nationality,jurisdiction,birthDate,birthPlace,position,passportNumber,gender,appearance,ethnicity,fatherName,motherName,incorporationDate,legalForm,sector,registrationNumber,taxNumber,idNumber,innCode,ogrnCode,kppCode,okpoCode,leiCode,swiftBic,ticker,imoNumber,mmsi,flag,address,phone,email,website,notes
32014R0833,32026R1848,581,EU-RUS,IV,Export control,18.12.2023,,LegalEntity,SFT LLC,Общество с Ограниченной Ответственностью «СФТ» (ООО «СФТ»); Limited Liability Company SFT; CFT; OOO SFT; Obshchestvo S Ogranichennoi Otvetstvennostyu SFT,,,,,,,,,,,,,,,,,,7725842590 (Tax ID/INN),,,,,,,,,,,,,"115114, Moscow, Zamoskvorechye Municipal District, Kozhevnicheskaya Str., 10, Building 1, Russian Federation",+7 (495) 995-71-08,info@cftech.ru,https://cftech.ru/,
32014R0833,32026R1848,922,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC NTK,ООО НТК,,,,,,,,,,,,,,,,,,1215232483 (INN),,,,,,,,,,,,,"Room 3, Building 1, Lenin Avenue 21, 428003 Cheboksary, Chuvash Republic, Russian Federation",,,,
32014R0833,32026R1848,923,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Asialink Logistics LLC,Aziyalink Logistics LLC; Asialink Shanghai Intl Logistics Co. Ltd; ООО Азиялинк Логистикс,,,,,,,,,,,,,,,,,,9728024860 (INN),,,,,,,,,,,,,"Office 250, Floor 3, Butlerova Str. 17, 117342 Moscow, Russian Federation; Office 229, Sheremetyevskoye Highway 6K, 141426 Khimki, Moscow Oblast, Russian Federation",+8 800 222 75 52,request@asi-log.com,https://asi-log.com; https://asialink-logistics.com,
32014R0833,32026R1848,924,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC Korvet SPB,ООО Корвет СПБ,,,,,,,,,,,,,,,,,,7802537882 (INN),,,,,,,,,,,,,"Office 79, Building B, Ivana Fomina Str. 6, 194295 Saint Petersburg, Russian Federation",+7 812 2143858,info@corvetspb.ru,http://corvetspb.ru,
32014R0833,32026R1848,925,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Pixel Devices Limited,,,,,,,,,,,,,,,,,,,2569276 (TRN); 68097356 (BRN),,,,,,,,,,,,,"16/F, New Hennessey Tower, 263 Hennessey Road, Wanchai, Hong Kong",+852 3959 8125,info@pixel-devices.com,http://pixel-devices.com,
32014R0833,32026R1848,926,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Mastel Makina Ithalat Ihracat Limited Sirketi,,,,,,,,,,,,,,,,,,,145225-5,,,,,,,,,,,,,"No. 9, Block A, Selenium Retro 9, Chobancheshme e5 No. 16/1, Atakoy 7-8-9-10 District, 34203 Bakirkoy, Istanbul, Republic of Türkiye; No. 18/20/1 Beyazit Mahallesi Kalcilar Sokak, 34126 Fatih, Istanbul, Republic of Türkiye",+90 501 000 00 47,info@mastelmakina.com,https://www.mastelmakina.com,
32014R0833,32026R1848,927,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC TMK,LLC Trademicrocomponent; ООО ТМК; ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТРЕЙДМИКРОКОМПОНЕНТ,,,,,,,,,,,,,,,,,,9717092033 (INN),,,,,,,,,,,,,"Room V, Office 25b, Building 13, Floor 8, Akademika Koroleva Str., Municipal District Ostankinsky, 129515, Moscow, Russian Federation",+7 985 6823802,info.@tmc-msc.ru,www.tmc-msc.ru,
32014R0833,32026R1848,928,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC KB LIS,LLC CB Lis; ООО КБ Лис,,,,,,,,,,,,,,,,,,4706059162 (INN),,,,,,,,,,,,,"Office 511, 17 Vsevolozhsky Avenue, 188640 Vsevolozhsk, Leningrad Oblast, Russian Federation",+7 812 2141287,sales@kblis.ru,http://kblis.ru,
32014R0833,32026R1848,929,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,RLVT Tula,LLC Russian Laboratory of Air Transport; Russian Air Transport Laboratory LLC; LLC Russkaya Laboratoriya Vozdushnogo Transporta; ООО РЛВТ,,,,,,,,,,,,,,,,,,7100027464 (INN); 1227100012369 (OGRN),,,,,,,,,,,,,"Office 3, Building 3d, Ryazanskaya Str., 300026, Tula Oblast, Tula City, Russian Federation",+7 953 9599991,company@ovod71.ru,,
32014R0833,32026R1848,930,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,OKB Astron,OKB Astron JSC; JSC Optical and Mechanical Design Bureau Astron; AO OKB ASTRON; АО ОКБ Астрон,,,,,,,,,,,,,,,,,,5027224977 (INN),,,,,,,,,,,,,"Room 3, Artema Str. 2b, 283086 Donetsk City, Donetsk Temporarily Occupied Territory, Ukraine; Parkovaya St. 1, 140080 Lytkarino, Moscow Oblast, Russian Federation",+7 495 2151382; +7 495 2151379,info@astrohn.ru,https://astrohn.ru/,
32014R0833,32026R1848,931,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Xiefeng (HK) Int’l Electronics Ltd.,攜豐(香港)國際電子有限公司,,,,,,,,,,,,,,,,,,37624249 (BRN); 1108242 (TRN),,,,,,,,,,,,,"Room A, 3/F, Wing Tat Commercial Building, 121-125 Wing Lok Str., Sheung Wan, Hong Kong",,,,
32014R0833,32026R1848,932,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Corp-Link International Forwarding Ltd.,聯盈國際物流有限公司,,,,,,,,,,,,,,,,,,50664436 (BRN); 1336155 (TRN),,,,,,,,,,,,,"Flat A1, 2/F Wing Cheung Industrial Building, 58-70 Kwai Cheong Road, Hong Kong",,,www.corplink-logistics.com,
32014R0833,32026R1848,933,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Dalian Unimatic Trading Co. Ltd.,Dalian Youmante Trading Co. Ltd; 大连尤曼特贸易有限公司,,,,,,,,,,,,,,,,,,91210283MAC567EQ70 (USCC),,,,,,,,,,,,,"Room 321-01, 3rd Floor, No. 199 Zhuangda Road, Changsheng Str., Zhuanghe City, Dalian City, Liaoning Province, People’s Republic of China",,,,
32014R0833,32026R1848,934,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Altegrity LLC,ООО Альтегрити,,,,,,,,,,,,,,,,,,7716619740 (INN); 5087746394269 (OGRN),,,,,,,,,,,,,"Office 1TS, Building 11, 4th Magistralnaya Str., Khoroshevsky Municipal District, 123308 Moscow, Russian Federation",+7 495 9847144,,,
32014R0833,32026R1848,935,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Shenzhen Yilian Technology Development Co. Ltd,深圳市易连科技开发有限公司,,,,,,,,,,,,,,,,,,91440300061413490Q (USCC),,,,,,,,,,,,,"Floor 6, Building 5, Rundongsheng Industrial Zone 467, Xixiang Section of National Highway 107, Longteng Community, Xixiang Subdistrict, Bao’an District, 518100 Shenzhen, Guangdong Province, People’s Republic of China",+86 13392854255,info@e-lines.cn,https://www.e-lines.cn/,
32014R0833,32026R1848,936,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,KCONE International Trade Ltd.,鯤宸國際貿易有限公司,,,,,,,,,,,,,,,,,,75088396 (BRN); 3256373 (TRN),,,,,,,,,,,,,"Room 101A, 1/F Genplas Industrial Building, 56 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong",,,,
32014R0833,32026R1848,937,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Alfatrex Dis Ticaret Limited Sirketi,,,,,,,,,,,,,,,,,,,411319-5,,,,,,,,,,,,,"Ataköy 7. 8. 9. 10. Kısım Mahallesi, Çobançeşme E5 Yanyol Caddesi, No:22/1, Nef22 A Blok, Daire No: 227, 34158 Bakırköy, Istanbul, Republic of Türkiye",,,www.alfatrex.com.tr,
32014R0833,32026R1848,938,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Guangzhou Feiren Logistics Co. Ltd.,Feiren Logistics (Guangzhou) Co. Ltd; 广州市飞仁物流有限公司,,,,,,,,,,,,,,,,,,91440101687679653R (USCC),,,,,,,,,,,,,"Room 106, 1st Floor, Dishen Warehouse, No. 221 Tongjia Road, Tongde Str., Baiyun District, 510405 Guangzhou, People’s Republic of China",+86 36513456,,,
32014R0833,32026R1848,939,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC Exima MSK,Eksima MSK; ООО ЭКСИМА МСК,,,,,,,,,,,,,,,,,,"9731097379 (INN), 1227700483350 (OGRN)",,,,,,,,,,,,,"Apartment 64, Building 1, Gorbunova Str. 17, Mozhaisky Municipal District, 121596 Moscow, Russian Federation",+7 495 5454686,info@exima-msk.com,https://exima-msk.com/,
32014R0833,32026R1848,940,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,Newton-ITM LLC,Nyuton-ITM; Neyuton ITM; LLC Neyuton ITM; Engineering Center SDM LLC; ООО Ньютон-Итм,,,,,,,,,,,,,,,,,,5032295067 (INN),,,,,,,,,,,,,"Room 4N/3, Office 303, Building 31, Mira Avenue 102, 129626, Moscow, Russian Federation; Workshop 11a, Tsentralnaya Str., 81 Novoseltsovo Village, Mytishchi, Moscow, Russian Federation",+7 495 280 05 88,newton-itm@newton-itm.com; info@newton-itm.com,https://www.newton-itm.com/,
32014R0833,32026R1848,941,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,JSC Elekond,JSC Elecond; АО Элеконд,,,,,,,,,,,,,,,,,,1827003592 (INN),,,,,,,,,,,,,"Kalinina Str. 3, 427968 Sarapul, Russian Federation",+7 341 4729989; +7 341 4729977,elecond-market@elcudm.ru,https://elecond.ru/,
32014R0833,32026R1848,942,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC Uralshina,LLC Ural Tire Plant; Uralskii Shinnyi Zavod; ООО Уралшина,,,,,,,,,,,,,,,,,,6674134107 (INN),,,,,,,,,,,,,"Building 76, Blagodatskaya Str., Yekaterinburg, 620087, Sverdlovsk Oblast, Russian Federation",+7 343 2641200; +7 343 2641256; +7 343 2641119,shina@uralshina.ru; sbit@uralshina.ru; snab@uralshina.ru; rabota@uralshina.ru,https://uralshina.ru/,
32014R0833,32026R1848,943,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC Metall Service,ООО Металл Сервис,,,,,,,,,,,,,,,,,,6829008267 (INN),,,,,,,,,,,,,"Apartment 1, 60 Eletskaya Str., Tambov, 392009, Tambov Oblast, Russian Federation",+7 800 200 68 21,info@mc24.ru,https://mc24.ru/,
32014R0833,32026R1848,944,EU-RUS,IV,Export control,24.7.2026,,LegalEntity,LLC PE-5,LLC Polyezny Element-5; ООО ПЭ-5,,,,,,,,,,,,,,,,,,9721206357 (INN),,,,,,,,,,,,,"Block 1, Building 1, 2nd Karacharovskaya Str., 109202, Moscow, Russian Federation",,,www.pe-5.ru,
